date	day	away	home	opening_spread	away_ML	home_ML	away_pts	home_pts	result	result_diff
20171102	16	L.A. Lakers	Portland	-8.5	220	-260	110	113	-3	5.5
20171103	17	Cleveland	Washington	-3.5	155	-165	130	122	8	11.5
20171103	17	Milwaukee	Detroit	-2.0	-102	-118	96	105	-9	-7.0
20171103	17	Houston	Atlanta	8.0	-330	270	119	104	15	7.0
20171103	17	Charlotte	San Antonio	-3.0	125	-145	101	108	-7	-4.0
20171103	17	Toronto	Utah	-1.0	103	-123	109	100	9	10.0
20171103	17	Boston	Oklahoma City	-5.5	180	-220	101	94	7	12.5
20171103	17	Chicago	Orlando	-8.0	270	-330	105	83	22	30.0
20171103	17	Indiana	Philadelphia	-6.0	215	-235	110	121	-11	-5.0
20171103	17	Phoenix	New York	-4.0	150	-160	107	120	-13	-9.0
20171103	17	New Orleans	Dallas	4.5	-190	165	99	94	5	0.5
20171103	17	Miami	Denver	-5.0	170	-200	94	95	-1	4.0
20171103	17	Brooklyn	L.A. Lakers	-2.0	125	-145	112	124	-12	-10.0
20171104	18	Memphis	L.A. Clippers	-5.5	205	-225	113	104	9	14.5
20171104	18	New Orleans	Chicago	7.0	-240	200	96	90	6	-1.0
20171104	18	Sacramento	Detroit	-8.5	350	-440	99	108	-9	-0.5
20171104	18	Dallas	Minnesota	-12.5	800	-1250	99	112	-13	-0.5
20171104	18	Golden State	Denver	7.5	-380	315	127	108	19	11.5
20171105	19	Atlanta	Cleveland	-13.5	650	-1000	117	115	2	15.5
20171105	19	Washington	Toronto	-5.0	175	-210	107	96	11	16.0
20171105	19	Utah	Houston	-7.0	220	-240	110	137	-27	-20.0
20171105	19	Indiana	New York	-2.0	120	-130	101	108	-7	-5.0
20171105	19	Oklahoma City	Portland	3.0	-135	125	99	103	-4	-7.0
20171105	19	Miami	L.A. Clippers	-58.5	180	-220	104	101	3	61.5
20171105	19	Boston	Orlando	3.0	-155	135	104	88	16	13.0
20171105	19	Phoenix	San Antonio	-10.5	475	-650	95	112	-17	-6.5
20171105	19	Charlotte	Minnesota	-5.0	180	-220	94	112	-18	-13.0
20171105	19	Memphis	L.A. Lakers	1.5	-118	108	102	107	-5	-6.5
20171106	20	Boston	Atlanta	8.0	-340	280	110	107	3	-5.0
20171106	20	Brooklyn	Phoenix	-1.0	100	-120	98	92	6	7.0
20171106	20	Miami	Golden State	-16.5	1300	-1650	80	97	-17	-0.5
20171107	21	Milwaukee	Cleveland	-4.0	155	-165	119	124	-5	-1.0
20171107	21	New Orleans	Indiana	-1.0	-102	-118	117	112	5	6.0
20171107	21	Charlotte	New York	1.0	-105	-105	113	118	-5	-6.0
20171107	21	Philadelphia	Utah	-7.0	235	-275	104	97	7	14.0
20171107	21	Memphis	Portland	-3.5	140	-160	98	97	1	4.5
20171107	21	Dallas	Washington	-11.0	470	-555	113	99	14	25.0
20171107	21	Chicago	Toronto	-11.0	535	-650	114	119	-5	6.0
20171107	21	L.A. Clippers	San Antonio	-3.0	150	-160	107	120	-13	-10.0
20171107	21	Brooklyn	Denver	-11.5	635	-800	104	112	-8	3.5
20171107	21	Oklahoma City	Sacramento	11.0	-525	450	86	94	-8	-19.0
20171108	22	New York	Orlando	-5.0	175	-210	99	112	-13	-8.0
20171108	22	L.A. Lakers	Boston	-9.0	310	-370	96	107	-11	-2.0
20171108	22	Indiana	Detroit	-6.5	255	-310	97	114	-17	-10.5
20171108	22	Miami	Phoenix	5.5	-210	175	126	115	11	5.5
20171108	22	Minnesota	Golden State	-10.5	475	-650	101	125	-24	-13.5
20171109	23	L.A. Lakers	Washington	-10.0	455	-530	95	111	-16	-6.0
20171109	23	Cleveland	Houston	-5.5	170	-200	113	117	-4	1.5
20171109	23	New Orleans	Toronto	-4.5	170	-200	118	122	-4	0.5
20171109	23	Philadelphia	Sacramento	6.5	-260	220	108	109	-1	-7.5
20171109	23	Oklahoma City	Denver	0.0	-117	-103	94	102	-8	-8.0
20171110	24	Atlanta	Detroit	-8.5	300	-360	104	111	-7	1.5
20171110	24	Indiana	Chicago	4.0	-175	155	105	87	18	14.0
20171110	24	Orlando	Phoenix	3.0	-165	145	128	112	16	13.0
20171110	24	L.A. Clippers	Oklahoma City	-6.0	200	-240	111	120	-9	-3.0
20171110	24	Charlotte	Boston	-4.0	160	-170	87	90	-3	1.0
20171110	24	Milwaukee	San Antonio	-4.5	160	-185	94	87	7	11.5
20171110	24	Miami	Utah	-3.0	130	-150	84	74	10	13.0
20171110	24	Brooklyn	Portland	-8.5	305	-365	101	97	4	12.5
20171111	25	Atlanta	Washington	-11.0	475	-650	94	113	-19	-8.0
20171111	25	Memphis	Houston	-5.5	200	-240	96	111	-15	-9.5
20171111	25	Cleveland	Dallas	5.5	-220	180	111	104	7	1.5
20171111	25	Philadelphia	Golden State	-14.0	1000	-1500	114	135	-21	-7.0
20171111	25	Orlando	Denver	-8.0	260	-320	107	125	-18	-10.0
20171111	25	L.A. Clippers	New Orleans	-5.5	240	-280	103	111	-8	-2.5
20171111	25	Sacramento	New York	-4.5	175	-210	91	118	-27	-22.5
20171111	25	L.A. Lakers	Milwaukee	-5.0	190	-230	90	98	-8	-3.0
20171111	25	Chicago	San Antonio	-12.0	475	-650	94	133	-39	-27.0
20171111	25	Brooklyn	Utah	-9.0	300	-360	106	114	-8	1.0
20171111	25	Minnesota	Phoenix	9.5	-420	335	110	118	-8	-17.5
20171112	26	Toronto	Boston	2.5	-125	105	94	95	-1	-3.5
20171112	26	Houston	Indiana	2.5	-145	125	118	95	23	20.5
20171112	26	Miami	Detroit	-3.0	130	-150	103	112	-9	-6.0
20171112	26	Dallas	Oklahoma City	-12.0	635	-800	99	112	-13	-1.0
20171113	27	Sacramento	Washington	-11.5	600	-900	92	110	-18	-6.5
20171113	27	Memphis	Milwaukee	-3.0	150	-170	103	110	-7	-4.0
20171113	27	Minnesota	Utah	3.5	-160	140	109	98	11	7.5
20171113	27	Denver	Portland	-2.0	100	-120	82	99	-17	-15.0
20171113	27	Cleveland	New York	3.5	-190	165	104	101	3	-0.5
20171113	27	Atlanta	New Orleans	-9.5	360	-450	105	106	-1	8.5
20171113	27	L.A. Lakers	Phoenix	1.0	105	-125	100	93	7	6.0
20171113	27	Philadelphia	L.A. Clippers	-2.0	-102	-118	109	105	4	6.0
20171113	27	Orlando	Golden State	-14.5	650	-1000	100	110	-10	4.5
20171114	28	Boston	Brooklyn	7.5	-270	248	109	102	7	-0.5
20171114	28	Toronto	Houston	-6.0	215	-255	129	113	16	22.0
20171114	28	San Antonio	Dallas	6.5	-255	215	97	91	6	-0.5
20171115	29	Washington	Miami	-1.5	-102	-118	102	93	9	10.5
20171115	29	Sacramento	Atlanta	-3.5	145	-165	80	126	-46	-42.5
20171115	29	Cleveland	Charlotte	-1.5	-125	105	115	107	8	9.5
20171115	29	Chicago	Oklahoma City	-12.0	600	-900	79	92	-13	-1.0
20171115	29	Detroit	Milwaukee	-4.0	150	-170	95	99	-4	0.0
20171115	29	Utah	New York	-4.0	150	-170	101	106	-5	-1.0
20171115	29	San Antonio	Minnesota	-5.0	175	-210	86	98	-12	-7.0
20171115	29	Toronto	New Orleans	-3.5	145	-165	125	116	9	12.5
20171115	29	Indiana	Memphis	-4.5	160	-185	116	113	3	7.5
20171115	29	Orlando	Portland	-5.5	175	-210	94	99	-5	0.5
20171115	29	Philadelphia	L.A. Lakers	2.5	-155	135	115	109	6	3.5
20171116	30	Golden State	Boston	6.5	-270	230	88	92	-4	-10.5
20171116	30	Houston	Phoenix	11.5	-900	600	142	116	26	14.5
20171117	31	Detroit	Indiana	-1.5	110	-130	100	107	-7	-5.5
20171117	31	New York	Toronto	-7.5	275	-335	84	107	-23	-15.5
20171117	31	Utah	Brooklyn	1.5	-123	103	107	118	-11	-12.5
20171117	31	Charlotte	Chicago	7.0	-270	230	120	123	-3	-10.0
20171117	31	Portland	Sacramento	8.0	-300	250	82	86	-4	-12.0
20171117	31	Miami	Washington	-4.5	158	-180	91	88	3	7.5
20171117	31	L.A. Clippers	Cleveland	-6.5	225	-265	113	118	-5	1.5
20171117	31	Oklahoma City	San Antonio	0.0	-110	-110	101	104	-3	-3.0
20171117	31	Minnesota	Dallas	7.5	-265	225	111	87	24	16.5
20171117	31	New Orleans	Denver	-4.0	158	-180	114	146	-32	-28.0
20171117	31	Phoenix	L.A. Lakers	-6.0	225	-265	122	113	9	15.0
20171118	32	L.A. Clippers	Charlotte	-4.5	165	-190	87	102	-15	-10.5
20171118	32	Golden State	Philadelphia	8.5	-380	315	124	116	8	-0.5
20171118	32	Houston	Memphis	6.0	-275	235	105	83	22	16.0
20171118	32	Utah	Orlando	-6.5	250	-300	125	85	40	46.5
20171118	32	Boston	Atlanta	6.5	-265	225	110	99	11	4.5
20171118	32	Milwaukee	Dallas	7.5	-320	260	79	111	-32	-39.5
20171118	32	Sacramento	Portland	-11.5	650	-1000	90	102	-12	-0.5
20171119	33	Washington	Toronto	-5.5	200	-240	91	100	-9	-3.5
20171119	33	Golden State	Brooklyn	13.0	-1000	650	118	111	7	-6.0
20171119	33	Chicago	Phoenix	-2.5	135	-155	105	113	-8	-5.5
20171119	33	Indiana	Miami	-3.0	160	-185	120	95	25	28.0
20171119	33	Detroit	Minnesota	-5.0	190	-230	100	97	3	8.0
20171119	33	Denver	L.A. Lakers	5.0	-200	170	109	127	-18	-23.0
20171120	34	Utah	Philadelphia	-7.0	265	-295	86	107	-21	-14.0
20171120	34	Minnesota	Charlotte	-1.5	120	-130	102	118	-16	-14.5
20171120	34	L.A. Clippers	New York	-1.5	105	-125	85	107	-22	-20.5
20171120	34	Washington	Milwaukee	-5.0	175	-210	99	88	11	16.0
20171120	34	Atlanta	San Antonio	-9.0	390	-440	85	96	-11	-2.0
20171120	34	Cleveland	Detroit	2.5	-130	120	116	88	28	25.5
20171120	34	Indiana	Orlando	-3.5	140	-160	105	97	8	11.5
20171120	34	Portland	Memphis	1.0	-135	115	100	92	8	7.0
20171120	34	Oklahoma City	New Orleans	2.5	-140	130	107	114	-7	-9.5
20171120	34	Boston	Dallas	8.0	-335	305	110	102	8	0.0
20171120	34	Denver	Sacramento	7.5	-255	235	114	98	16	8.5
20171121	35	Chicago	L.A. Lakers	-5.5	185	-225	94	103	-9	-3.5
20171122	36	Washington	Charlotte	-2.5	115	-135	124	129	-5	-2.5
20171122	36	Portland	Philadelphia	-3.0	150	-170	81	101	-20	-17.0
20171122	36	Toronto	New York	4.0	-170	150	100	108	-8	-12.0
20171122	36	Orlando	Minnesota	-7.0	250	-300	118	124	-6	1.0
20171122	36	Denver	Houston	-9.5	385	-485	95	125	-30	-20.5
20171122	36	San Antonio	New Orleans	-2.0	110	-130	90	107	-17	-15.0
20171122	36	Milwaukee	Phoenix	5.0	-210	175	113	107	6	1.0
20171122	36	Brooklyn	Cleveland	-11.0	575	-850	109	119	-10	1.0
20171122	36	L.A. Clippers	Atlanta	3.0	-155	135	116	103	13	10.0
20171122	36	Boston	Miami	3.0	-150	130	98	104	-6	-9.0
20171122	36	Golden State	Oklahoma City	4.5	-210	175	91	108	-17	-21.5
20171122	36	Dallas	Memphis	-5.5	190	-230	95	94	1	6.5
20171122	36	Chicago	Utah	-8.5	360	-450	80	110	-30	-21.5
20171122	36	L.A. Lakers	Sacramento	1.0	-117	-103	102	113	-11	-12.0
20171124	38	Portland	Brooklyn	3.5	-165	145	127	125	2	-1.5
20171124	38	Orlando	Boston	-8.5	315	-380	103	118	-15	-6.5
20171124	38	Miami	Minnesota	-4.0	150	-170	109	97	12	16.0
20171124	38	Charlotte	Cleveland	-5.5	170	-230	99	100	-1	4.5
20171124	38	New Orleans	Phoenix	6.0	-235	195	115	91	24	18.0
20171124	38	New York	Atlanta	2.0	-135	115	104	116	-12	-14.0
20171124	38	Detroit	Oklahoma City	-8.0	275	-335	99	98	1	9.0
20171124	38	Toronto	Indiana	0.0	-123	103	104	107	-3	-3.0
20171124	38	Memphis	Denver	-6.0	205	-245	92	104	-12	-6.0
20171124	38	Chicago	Golden State	-19.5	1025	-1250	94	143	-49	-29.5
20171125	39	Orlando	Philadelphia	-4.0	175	-210	111	130	-19	-15.0
20171125	39	Portland	Washington	-3.5	160	-185	108	105	3	6.5
20171125	39	Boston	Indiana	2.0	-150	140	108	98	10	8.0
20171125	39	New Orleans	Golden State	-13.0	635	-800	95	110	-15	-2.0
20171125	39	Milwaukee	Utah	1.5	-123	103	108	121	-13	-14.5
20171125	39	San Antonio	Charlotte	1.0	-117	-103	106	86	20	19.0
20171125	39	Toronto	Atlanta	7.0	-240	220	112	78	34	27.0
20171125	39	New York	Houston	-13.0	1100	-1400	102	117	-15	-2.0
20171125	39	Oklahoma City	Dallas	6.0	-210	175	81	97	-16	-22.0
20171125	39	L.A. Clippers	Sacramento	4.5	-175	155	97	95	2	-2.5
20171126	40	Miami	Chicago	6.5	-260	180	100	93	7	0.5
20171126	40	Phoenix	Minnesota	-11.5	570	-705	108	119	-11	0.5
20171126	40	Brooklyn	Memphis	-5.5	180	-220	98	88	10	15.5
20171127	41	Orlando	Indiana	-4.0	155	-165	109	121	-12	-8.0
20171127	41	Portland	New York	1.5	-123	103	103	91	12	10.5
20171127	41	Brooklyn	Houston	-16.0	1400	-2500	103	117	-14	2.0
20171127	41	Sacramento	Golden State	-14.5	900	-1100	110	106	4	18.5
20171127	41	Cleveland	Philadelphia	2.0	-113	103	113	91	22	20.0
20171127	41	Detroit	Boston	-6.5	220	-260	118	108	10	16.5
20171127	41	Dallas	San Antonio	-9.5	360	-450	108	115	-7	2.5
20171127	41	L.A. Lakers	L.A. Clippers	-4.5	165	-190	115	120	-5	-0.5
20171128	42	Miami	Cleveland	-3.5	145	-165	97	108	-11	-7.5
20171128	42	Phoenix	Chicago	0.0	103	-123	104	99	5	5.0
20171128	42	Washington	Minnesota	-5.5	185	-200	92	89	3	8.5
20171128	42	Denver	Utah	-1.5	105	-125	77	106	-29	-27.5
20171128	42	Milwaukee	Sacramento	7.0	-300	250	112	87	25	18.0
20171129	43	Washington	Philadelphia	-5.0	185	-200	113	118	-5	0.0
20171129	43	Oklahoma City	Orlando	6.0	-230	190	108	121	-13	-19.0
20171129	43	Miami	New York	1.0	-117	-103	86	115	-29	-30.0
20171129	43	Minnesota	New Orleans	-5.0	175	-210	120	102	18	23.0
20171129	43	Brooklyn	Dallas	-4.5	190	-210	109	104	5	9.5
20171129	43	Phoenix	Detroit	-12.0	650	-1000	107	131	-24	-12.0
20171129	43	Charlotte	Toronto	-8.0	300	-360	113	126	-13	-5.0
20171129	43	Indiana	Houston	-12.0	600	-750	97	118	-21	-9.0
20171129	43	Memphis	San Antonio	-8.0	290	-350	95	104	-9	-1.0
20171129	43	Golden State	L.A. Lakers	10.0	-600	450	127	123	4	-6.0
20171130	44	Philadelphia	Boston	-9.0	325	-400	97	108	-11	-2.0
20171130	44	Chicago	Denver	-12.0	575	-850	110	111	-1	11.0
20171130	44	Cleveland	Atlanta	7.5	-320	260	121	114	7	-0.5
20171130	44	Milwaukee	Portland	-2.0	130	-150	103	91	12	14.0
20171130	44	Utah	L.A. Clippers	1.0	-130	110	126	107	19	18.0
20171201	45	Detroit	Washington	1.0	-118	108	91	109	-18	-19.0
20171201	45	Indiana	Toronto	-6.5	245	-290	115	120	-5	1.5
20171201	45	San Antonio	Memphis	4.0	-170	150	95	79	16	12.0
20171201	45	Charlotte	Miami	-2.0	115	-125	100	105	-5	-3.0
20171201	45	Golden State	Orlando	11.0	-650	475	133	112	21	10.0
20171201	45	Minnesota	Oklahoma City	-4.5	160	-185	107	111	-4	0.5
20171201	45	Sacramento	Chicago	1.5	-125	105	107	106	1	-0.5
20171201	45	New Orleans	Utah	2.5	-135	115	108	114	-6	-8.5
20171202	46	Phoenix	Boston	-13.0	800	-1250	111	116	-5	8.0
20171202	46	Atlanta	Brooklyn	-4.0	160	-185	114	102	12	16.0
20171202	46	Memphis	Cleveland	-11.5	550	-800	111	116	-5	6.5
20171202	46	L.A. Lakers	Denver	-5.5	167	-178	100	115	-15	-9.5
20171202	46	L.A. Clippers	Dallas	-5.0	175	-210	82	108	-26	-21.0
20171202	46	Detroit	Philadelphia	-5.0	175	-210	103	108	-5	0.0
20171202	46	Sacramento	Milwaukee	-11.5	550	-800	104	109	-5	6.5
20171202	46	New Orleans	Portland	-4.0	225	-245	123	116	7	11.0
20171203	47	Orlando	New York	-1.5	110	-120	105	100	5	6.5
20171203	47	L.A. Clippers	Minnesota	-11.5	625	-950	106	112	-6	5.5
20171203	47	Golden State	Miami	10.5	-475	420	123	95	28	17.5
20171203	47	San Antonio	Oklahoma City	-4.5	155	-175	87	90	-3	1.5
20171203	47	Houston	L.A. Lakers	11.0	-900	600	118	95	23	12.0
20171204	48	New York	Indiana	-9.5	420	-475	97	115	-18	-8.5
20171204	48	Phoenix	Philadelphia	-10.5	500	-700	115	101	14	24.5
20171204	48	Brooklyn	Atlanta	-2.0	110	-130	110	90	20	22.0
20171204	48	Minnesota	Memphis	2.0	-145	125	92	95	-3	-5.0
20171204	48	Denver	Dallas	-2.5	130	-150	105	122	-17	-14.5
20171204	48	Orlando	Charlotte	-8.0	265	-325	94	104	-10	-2.0
20171204	48	Milwaukee	Boston	-6.0	185	-225	100	111	-11	-5.0
20171204	48	Cleveland	Chicago	9.0	-430	345	113	91	22	13.0
20171204	48	Golden State	New Orleans	9.5	-430	345	125	115	10	0.5
20171204	48	Detroit	San Antonio	-3.5	145	-165	93	96	-3	0.5
20171204	48	Washington	Utah	-3.0	130	-150	69	116	-47	-44.0
20171205	49	Phoenix	Toronto	-13.5	700	-1100	113	126	-13	0.5
20171205	49	Utah	Oklahoma City	-7.0	255	-280	94	100	-6	1.0
20171205	49	Washington	Portland	-5.5	190	-230	106	92	14	19.5
20171206	50	Atlanta	Orlando	-6.0	205	-245	106	110	-4	2.0
20171206	50	Sacramento	Cleveland	-12.5	700	-1100	95	101	-6	6.5
20171206	50	Dallas	Boston	-9.0	325	-400	90	97	-7	2.0
20171206	50	Golden State	Charlotte	5.0	-210	175	101	87	14	9.0
