date,away,away_pts,home,home_pts
Wed Dec 20 2017,Sacramento Kings,104,Brooklyn Nets,99
Wed Dec 20 2017,Orlando Magic,94,Chicago Bulls,112
Wed Dec 20 2017,Toronto Raptors,129,Charlotte Hornets,111
Wed Dec 20 2017,Detroit Pistons,93,Dallas Mavericks,110
Wed Dec 20 2017,Minnesota Timberwolves,112,Denver Nuggets,104
Wed Dec 20 2017,Memphis Grizzlies,84,Golden State Warriors,97
Wed Dec 20 2017,Los Angeles Lakers,122,Houston Rockets,116
Wed Dec 20 2017,Phoenix Suns,95,Los Angeles Clippers,108
Wed Dec 20 2017,Utah Jazz,79,Oklahoma City Thunder,107
Wed Dec 20 2017,San Antonio Spurs,93,Portland Trail Blazers,91
Thu Dec 21 2017,Chicago Bulls,112,Cleveland Cavaliers,115
Thu Dec 21 2017,Boston Celtics,93,New York Knicks,102
Thu Dec 21 2017,Toronto Raptors,114,Philadelphia 76ers,109
Thu Dec 21 2017,Memphis Grizzlies,95,Phoenix Suns,97
Thu Dec 21 2017,San Antonio Spurs,89,Utah Jazz,100
Fri Dec 22 2017,Washington Wizards,84,Brooklyn Nets,119
Fri Dec 22 2017,New York Knicks,101,Detroit Pistons,104
Fri Dec 22 2017,Los Angeles Lakers,106,Golden State Warriors,113
Fri Dec 22 2017,Los Angeles Clippers,128,Houston Rockets,118
Fri Dec 22 2017,Dallas Mavericks,101,Miami Heat,113
Fri Dec 22 2017,Charlotte Hornets,104,Milwaukee Bucks,109
Fri Dec 22 2017,Atlanta Hawks,117,Oklahoma City Thunder,120
Fri Dec 22 2017,New Orleans Pelicans,111,Orlando Magic,97
Fri Dec 22 2017,Denver Nuggets,102,Portland Trail Blazers,85
Sat Dec 23 2017,Dallas Mavericks,107,Atlanta Hawks,112
Sat Dec 23 2017,Chicago Bulls,92,Boston Celtics,117
Sat Dec 23 2017,Milwaukee Bucks,106,Charlotte Hornets,111
Sat Dec 23 2017,Denver Nuggets,96,Golden State Warriors,81
Sat Dec 23 2017,Brooklyn Nets,119,Indiana Pacers,123
Sat Dec 23 2017,Portland Trail Blazers,95,Los Angeles Lakers,92
Sat Dec 23 2017,Los Angeles Clippers,112,Memphis Grizzlies,115
Sat Dec 23 2017,New Orleans Pelicans,109,Miami Heat,94
Sat Dec 23 2017,Minnesota Timberwolves,115,Phoenix Suns,106
