date,away,away_pts,home,home_pts
Mon Feb 26 2018,Indiana Pacers,103,Dallas Mavericks,109
Mon Feb 26 2018,Phoenix Suns,116,New Orleans Pelicans,125
Mon Feb 26 2018,Golden State Warriors,125,New York Knicks,111
Mon Feb 26 2018,Orlando Magic,105,Oklahoma City Thunder,112
Mon Feb 26 2018,Minnesota Timberwolves,118,Sacramento Kings,100
Mon Feb 26 2018,Detroit Pistons,94,Toronto Raptors,123
Mon Feb 26 2018,Houston Rockets,96,Utah Jazz,85
Tue Feb 27 2018,Chicago Bulls,103,Charlotte Hornets,118
Tue Feb 27 2018,Brooklyn Nets,123,Cleveland Cavaliers,129
Tue Feb 27 2018,Los Angeles Clippers,122,Denver Nuggets,120
Tue Feb 27 2018,Philadelphia 76ers,101,Miami Heat,102
Tue Feb 27 2018,Washington Wizards,107,Milwaukee Bucks,104
Tue Feb 27 2018,Sacramento Kings,99,Portland Trail Blazers,116
Wed Feb 28 2018,Indiana Pacers,102,Atlanta Hawks,107
Wed Feb 28 2018,Charlotte Hornets,106,Boston Celtics,134
Wed Feb 28 2018,Oklahoma City Thunder,111,Dallas Mavericks,110
Wed Feb 28 2018,Milwaukee Bucks,87,Detroit Pistons,110
Wed Feb 28 2018,Houston Rockets,105,Los Angeles Clippers,92
Wed Feb 28 2018,Phoenix Suns,110,Memphis Grizzlies,102
Wed Feb 28 2018,Toronto Raptors,117,Orlando Magic,104
Wed Feb 28 2018,New Orleans Pelicans,121,San Antonio Spurs,116
Wed Feb 28 2018,Golden State Warriors,109,Washington Wizards,101
