date	away	home	opening_spread	away_ML	home_ML
20171112	Toronto	Boston	+2.5	-125	+105
20171112	Houston	Indiana	+2.5	-145	+125
20171112	Miami	Detroit	-3	+130	-150
20171112	Dallas	Oklahoma City	-12	+635	-800
20171113	Sacramento	Washington	-11.5	+600	-900
20171113	Memphis	Milwaukee	-3	+150	-170
20171113	Minnesota	Utah	+3.5	-160	+140
20171113	Denver	Portland	-2	+100	-120
20171113	Cleveland	New York	+3.5	-190	+165
20171113	Atlanta	New Orleans	-9.5	+360	-450
20171113	L.A. Lakers	Phoenix	+1	+105	-125
20171113	Philadelphia	L.A. Clippers	-2	-102	-118
20171113	Orlando	Golden State	-14.5	+650	-1000
20171114	Boston	Brooklyn	+7.5	-270	+248
20171114	Toronto	Houston	-6	+215	-255
20171114	San Antonio	Dallas	+6.5	-255	+215
20171115	Washington	Miami	-1.5	-102	-118
20171115	Sacramento	Atlanta	-3.5	+145	-165
20171115	Cleveland	Charlotte	-1.5	-125	+105
20171115	Chicago	Oklahoma City	-12	+600	-900
20171115	Detroit	Milwaukee	-4	+150	-170
20171115	Utah	New York	-4	+150	-170
20171115	San Antonio	Minnesota	-5	+175	-210
20171115	Toronto	New Orleans	-3.5	+145	-165
20171115	Indiana	Memphis	-4.5	+160	-185
20171115	Orlando	Portland	-5.5	+175	-210
20171115	Philadelphia	L.A. Lakers	+2.5	-155	+135
20171116	Golden State	Boston	+6.5	-270	+230
20171116	Houston	Phoenix	+11.5	-900	+600
20171117	Detroit	Indiana	-1.5	+110	-130
20171117	New York	Toronto	-7.5	+275	-335
20171117	Utah	Brooklyn	+1.5	-123	+103
20171117	Charlotte	Chicago	+7	-270	+230
20171117	Portland	Sacramento	+8	-300	+250
20171117	Miami	Washington	-4.5	+158	-180
20171117	L.A. Clippers	Cleveland	-6.5	+225	-265
20171117	Oklahoma City	San Antonio	0	-110	-110
20171117	Minnesota	Dallas	+7.5	-265	+225
20171117	New Orleans	Denver	-4	+158	-180
20171117	Phoenix	L.A. Lakers	-6	+225	-265
20171118	L.A. Clippers	Charlotte	-4.5	+165	-190
20171118	Golden State	Philadelphia	+8.5	-380	+315
20171118	Houston	Memphis	+6	-275	+235
20171118	Utah	Orlando	-6.5	+250	-300
20171118	Boston	Atlanta	+6.5	-265	+225
20171118	Milwaukee	Dallas	+7.5	-320	+260
20171118	Sacramento	Portland	-11.5	+650	-1000
20171119	Washington	Toronto	-5.5	+200	-240
20171119	Golden State	Brooklyn	+13	-1000	+650
20171119	Chicago	Phoenix	-2.5	+135	-155
20171119	Indiana	Miami	-3	+160	-185
20171119	Detroit	Minnesota	-5	+190	-230
20171119	Denver	L.A. Lakers	+5	-200	+170
20171120	Utah	Philadelphia	-7	+265	-295
20171120	Minnesota	Charlotte	-1.5	+120	-130
20171120	L.A. Clippers	New York	-1.5	+105	-125
20171120	Washington	Milwaukee	-5	+175	-210
20171120	Atlanta	San Antonio	-9	+390	-440
20171120	Cleveland	Detroit	+2.5	-130	+120
20171120	Indiana	Orlando	-3.5	+140	-160
20171120	Portland	Memphis	+1	-135	+115
20171120	Oklahoma City	New Orleans	+2.5	-140	+130
20171120	Boston	Dallas	+8	-335	+305
20171120	Denver	Sacramento	+7.5	-255	+235
20171121	Chicago	L.A. Lakers	-5.5	+185	-225
20171122	Washington	Charlotte	-2.5	+115	-135
20171122	Portland	Philadelphia	-3	+150	-170
20171122	Toronto	New York	+4	-170	+150
20171122	Orlando	Minnesota	-7	+250	-300
20171122	Denver	Houston	-9.5	+385	-485
20171122	San Antonio	New Orleans	-2	+110	-130
20171122	Milwaukee	Phoenix	+5	-210	+175
20171122	Brooklyn	Cleveland	-11	+575	-850
20171122	L.A. Clippers	Atlanta	+3	-155	+135
20171122	Boston	Miami	+3	-150	+130
20171122	Golden State	Oklahoma City	+4.5	-210	+175
20171122	Dallas	Memphis	-5.5	+190	-230
20171122	Chicago	Utah	-8.5	+360	-450
20171122	L.A. Lakers	Sacramento	+1	-117	-103
20171124	Portland	Brooklyn	+3.5	-165	+145
20171124	Orlando	Boston	-8.5	+315	-380
20171124	Miami	Minnesota	-4	+150	-170
20171124	Charlotte	Cleveland	-5.5	+170	-230
20171124	New Orleans	Phoenix	+6	-235	+195
20171124	New York	Atlanta	+2	-135	+115
20171124	Detroit	Oklahoma City	-8	+275	-335
20171124	Toronto	Indiana	0	-123	+103
20171124	Memphis	Denver	-6	+205	-245
20171124	Chicago	Golden State	-19.5	+1025	-1250
20171125	Orlando	Philadelphia	-4	+175	-210
20171125	Portland	Washington	-3.5	+160	-185
20171125	Boston	Indiana	+2	-150	+140
20171125	New Orleans	Golden State	-13	+635	-800
20171125	Milwaukee	Utah	+1.5	-123	+103
20171125	San Antonio	Charlotte	+1	-117	-103
20171125	Toronto	Atlanta	+7	-240	+220
20171125	New York	Houston	-13	+1100	-1400
20171125	Oklahoma City	Dallas	+6	-210	+175
20171125	L.A. Clippers	Sacramento	+4.5	-175	+155
20171126	Miami	Chicago	+6.5	-260	+180
20171126	Phoenix	Minnesota	-11.5	+570	-705
20171126	Brooklyn	Memphis	-5.5	+180	-220
20171127	Orlando	Indiana	-4	+155	-165
20171127	Portland	New York	+1.5	-123	+103
20171127	Brooklyn	Houston	-16	+1400	-2500
20171127	Sacramento	Golden State	-14.5	+900	-1100
20171127	Cleveland	Philadelphia	+2	-113	+103
20171127	Detroit	Boston	-6.5	+220	-260
20171127	Dallas	San Antonio	-9.5	+360	-450
20171127	L.A. Lakers	L.A. Clippers	-4.5	+165	-190
20171128	Miami	Cleveland	-3.5	+145	-165
20171128	Phoenix	Chicago	0	+103	-123
20171128	Washington	Minnesota	-5.5	+185	-200
20171128	Denver	Utah	-1.5	+105	-125
20171128	Milwaukee	Sacramento	+7	-300	+250
20171129	Washington	Philadelphia	-5	+185	-200
20171129	Oklahoma City	Orlando	+6	-230	+190
20171129	Miami	New York	+1	-117	-103
20171129	Minnesota	New Orleans	-5	+175	-210
20171129	Brooklyn	Dallas	-4.5	+190	-210
20171129	Phoenix	Detroit	-12	+650	-1000
20171129	Charlotte	Toronto	-8	+300	-360
20171129	Indiana	Houston	-12	+600	-750
20171129	Memphis	San Antonio	-8	+290	-350
20171129	Golden State	L.A. Lakers	+10	-600	+450
20171130	Philadelphia	Boston	-9	+325	-400
20171130	Chicago	Denver	-12	+575	-850
20171130	Cleveland	Atlanta	+7.5	-320	+260
20171130	Milwaukee	Portland	-2	+130	-150
20171130	Utah	L.A. Clippers	+1	-130	+110
20171201	Detroit	Washington	+1	-118	+108
20171201	Indiana	Toronto	-6.5	+245	-290
20171201	San Antonio	Memphis	+4	-170	+150
20171201	Charlotte	Miami	-2	+115	-125
20171201	Golden State	Orlando	+11	-650	+475
